Customer_ID,Signup_Date,Age,Gender,Location,Income_Level,Customer_Segment,Acquisition_Channel,First_Purchase_Date,Total_Purchases,Total_Spend,Average_Order_Value,Churn_Status,Cohort_Month,Customer_Lifetime_Value,Tenure_Days,Last_Login_Date,Engagement_Score,Preferred_Category,Discount_Usage_Rate,Referral_Count,Payment_Method,Return_Rate,Satisfaction_Score,Email_Open_Rate,Mobile_App_User,Subscription_Type,Average_Session_Duration,Customer_Tier
1,14-04-2025,59,Female,Buckborough,Medium,High Spender,Ads,5/6/2025,29,1440.65,49.68,Active,25-Apr,3403.92,145,5/5/2025,8,Travel,0.31,10,UPI,0.16,2,0.33,No,Premium,17.33,Silver
2,5/6/2024,42,Male,Ellismouth,Low,Occasional,Referral,27-05-2024,43,731.28,17.01,Active,24-May,1044.19,488,7/8/2025,9,Grocery,0.42,1,Wallet,0.14,4,0.11,No,Premium,57.13,Silver
3,12/6/2023,53,Male,Gordonton,Low,High Spender,Ads,30-01-2024,12,732.29,61.02,Inactive,23-Dec,1360.42,640,13-10-2024,33,Grocery,0.58,0,Debit Card,0.18,1,0.64,No,Premium,53.32,Bronze
4,31-03-2025,23,Female,West Janice,Low,Occasional,Referral,30-04-2025,17,2717.21,159.84,Inactive,25-Mar,4041.29,159,30-07-2025,63,Fashion,0.37,0,Debit Card,0.24,4,0.63,No,Free,37.45,Platinum
5,14-10-2024,28,Male,Tammyville,Low,Bargain Hunter,Referral,18-11-2024,27,2582.36,95.64,Active,24-Oct,4780.32,327,14-11-2024,61,Books,0.88,1,Debit Card,0.09,3,0.67,Yes,Premium,33.24,Platinum
6,13-09-2024,61,Female,South James,High,One-time,Social Media,25-10-2024,36,751.98,20.89,Active,24-Sep,1120.53,358,24-06-2025,68,Travel,0.92,3,Credit Card,0.12,2,0.64,Yes,Free,51.86,Platinum
7,21-09-2024,35,Male,South James,High,One-time,Referral,16-11-2024,27,1550.07,57.41,Active,24-Sep,2771.04,350,5/5/2025,68,Fashion,0.71,2,Net Banking,0.21,4,0.78,Yes,Premium,59.87,Gold
8,2/11/2025,23,Other,New Kenneth,Medium,One-time,Referral,14-02-2025,20,2817.61,140.88,Inactive,25-Feb,6608.34,207,20-08-2025,94,Electronics,0.18,10,UPI,0.14,3,0.13,Yes,Free,56.51,Silver
9,27-01-2024,31,Female,New Hailey,Medium,Bargain Hunter,Direct,24-02-2024,50,3974.94,79.5,Inactive,24-Jan,8050.75,588,23-07-2025,94,Grocery,0.55,2,UPI,0.09,2,0.4,Yes,Premium,36.36,Gold
10,1/11/2024,54,Female,Washingtonstad,Low,Bargain Hunter,Direct,3/6/2024,30,4225.53,140.85,Inactive,24-Jan,9968.14,604,4/3/2024,96,Grocery,0.34,4,UPI,0.25,4,0.18,Yes,Free,41.73,Gold
11,26-04-2024,48,Other,Josephfurt,High,Loyal,Referral,5/5/2024,44,4106.23,93.32,Active,24-Apr,5462.52,498,24-07-2024,59,Grocery,0.9,5,Debit Card,0.28,1,0.18,Yes,Free,6.4,Gold
12,11/8/2023,20,Other,Port Williammouth,High,One-time,Referral,11/9/2023,20,2162.35,108.12,Inactive,23-Nov,4488.26,668,21-06-2024,95,Travel,0.03,3,Net Banking,0.19,4,0.81,Yes,Premium,9.46,Bronze
13,1/7/2025,54,Female,North Nancymouth,Medium,Bargain Hunter,Social Media,27-02-2025,3,1508.37,502.79,Active,25-Jan,3686.61,242,3/11/2025,39,Grocery,0.4,10,UPI,0.07,1,0.72,Yes,Gold,2.34,Platinum
14,24-09-2023,26,Male,Moorefort,High,Bargain Hunter,Social Media,11/10/2023,25,1617.58,64.7,Inactive,23-Sep,3576.85,713,21-12-2023,29,Travel,0.15,8,Debit Card,0.11,1,0.8,No,Gold,55.07,Gold
15,15-08-2024,62,Female,Lewismouth,Low,Occasional,Email,19-08-2024,3,3519.89,1173.3,Inactive,24-Aug,7093.33,387,16-08-2024,6,Fashion,0.03,9,UPI,0.15,3,0.27,No,Premium,49.54,Bronze
16,23-08-2024,53,Female,East Tony,High,One-time,Social Media,9/4/2024,49,4250.63,86.75,Active,24-Aug,6544.58,379,26-03-2025,55,Healthcare,0.28,4,Wallet,0.05,1,0.76,Yes,Premium,53.13,Platinum
17,6/6/2024,27,Male,South Brandy,High,High Spender,Social Media,8/5/2024,14,4296.36,306.88,Active,24-Jun,6832.34,457,28-04-2025,2,Fashion,0.13,0,Net Banking,0.15,3,0.37,Yes,Premium,51.49,Gold
18,27-07-2024,19,Male,Joyport,Medium,High Spender,Referral,9/12/2024,31,3778.05,121.87,Inactive,24-Jul,6756.94,406,7/11/2025,40,Electronics,0.37,4,Wallet,0.19,2,0.73,No,Gold,3.97,Bronze
19,4/2/2024,62,Female,Weeksbury,High,High Spender,Ads,26-05-2024,15,193.15,12.88,Inactive,24-Apr,439,522,23-09-2024,62,Fashion,0.88,10,UPI,0.12,2,0.45,No,Premium,10.71,Platinum
